entity_name,headline,snippet,source,date,url,typology_gt
"Brooks, Nunez and Wilson","Brooks, Nunez and Wilson linked to embezzlement","The embezzlement investigation into Brooks, Nunez and Wilson has widened to include international partners.",Financial Times,2024-02-18,http://taylor.com/,fraud
"Brooks, Nunez and Wilson","Brooks, Nunez and Wilson linked to debt restructuring","The chapter 11 investigation into Brooks, Nunez and Wilson has widened to include international partners.",Financial Times,2024-08-02,https://marshall-freeman.info/,financial_distress
Chapman Inc,Chapman Inc news update: merger talks,Chapman Inc continues to show growth with its latest quarterly earnings.,The Wall Street Journal,2025-02-28,http://www.foster-young.com/,neutral
Chapman Inc,Chapman Inc linked to offshore accounts,Reports indicate that Chapman Inc was involved in significant smurfing activities.,Global Watch,2025-03-02,http://smith.com/,money_laundering
Chapman Inc,Chapman Inc linked to kickbacks,The pay-to-play investigation into Chapman Inc has widened to include international partners.,Bloomberg,2025-07-14,http://www.stewart.net/,corruption
Chapman Inc,Chapman Inc linked to smurfing,New evidence suggests Chapman Inc played a key role in a cartel money scandal.,Bloomberg,2025-08-19,http://price.biz/,money_laundering
Chapman Inc,Chapman Inc linked to offshore accounts,The money laundering investigation into Chapman Inc has widened to include international partners.,Global Watch,2025-08-17,https://www.miller.com/,money_laundering
Reese-Young,Reese-Young linked to child labor,The migrant exploitation investigation into Reese-Young has widened to include international partners.,Local News Daily,2025-07-11,http://www.hogan-thomas.biz/,human_trafficking
Reese-Young,Reese-Young linked to debt restructuring,Reports indicate that Reese-Young was involved in significant bankruptcy activities.,Global Watch,2025-09-30,https://www.russell-cameron.net/,financial_distress
Reese-Young,Reese-Young linked to forced labor,New evidence suggests Reese-Young played a key role in a forced labor scandal.,Reuters,2024-10-06,https://www.alexander.net/,human_trafficking
Reese-Young,Reese-Young linked to illicit funds,Authorities are investigating Reese-Young regarding allegations of offshore accounts.,Bloomberg,2025-07-15,http://www.avila.net/,money_laundering
Reese-Young,Reese-Young linked to child labor,New evidence suggests Reese-Young played a key role in a child labor scandal.,Reuters,2025-06-05,http://nolan.com/,human_trafficking
"Osborne, Glenn and Ayala","Osborne, Glenn and Ayala linked to bribes","New evidence suggests Osborne, Glenn and Ayala played a key role in a pay-to-play scandal.",The Wall Street Journal,2025-09-10,https://williams-bowen.com/,corruption
"Osborne, Glenn and Ayala","Osborne, Glenn and Ayala linked to foreign corrupt practices","Reports indicate that Osborne, Glenn and Ayala was involved in significant corrupt official activities.",Local News Daily,2025-02-05,http://www.andrews-smith.org/,corruption
"Osborne, Glenn and Ayala","Osborne, Glenn and Ayala linked to money laundering","Reports indicate that Osborne, Glenn and Ayala was involved in significant unexplained wealth activities.",Bloomberg,2024-03-19,http://graham-rose.biz/,money_laundering
"Osborne, Glenn and Ayala","Osborne, Glenn and Ayala linked to corrupt official","New evidence suggests Osborne, Glenn and Ayala played a key role in a corrupt official scandal.",Financial Times,2025-12-01,https://www.parker.biz/,corruption
"Osborne, Glenn and Ayala","Osborne, Glenn and Ayala linked to modern slavery","Reports indicate that Osborne, Glenn and Ayala was involved in significant human trafficking activities.",Reuters,2025-06-07,http://www.holland.biz/,human_trafficking
Cortez-Schwartz,Cortez-Schwartz linked to liquidation,Authorities are investigating Cortez-Schwartz regarding allegations of missed payments.,Bloomberg,2024-03-13,http://allen-novak.biz/,financial_distress
Cortez-Schwartz,Cortez-Schwartz linked to offshore accounts,The unexplained wealth investigation into Cortez-Schwartz has widened to include international partners.,Financial Times,2024-08-15,https://www.banks.com/,money_laundering
Cortez-Schwartz,Cortez-Schwartz news update: expansion plans,Cortez-Schwartz announced record breaking numbers in their recent quarterly earnings.,Local News Daily,2025-06-19,https://www.vaughn-porter.com/,neutral
Cortez-Schwartz,Cortez-Schwartz news update: quarterly earnings,Analysts are optimistic about Cortez-Schwartz following the merger talks.,Global Watch,2024-12-10,http://webb-powell.com/,neutral
Cortez-Schwartz,Cortez-Schwartz linked to child labor,Cortez-Schwartz denies all accusations related to migrant exploitation found in the recent leak.,Reuters,2024-02-14,http://erickson.info/,human_trafficking
"Thomas, Clark and Vargas","Thomas, Clark and Vargas linked to bankruptcy","New evidence suggests Thomas, Clark and Vargas played a key role in a liquidation scandal.",The Wall Street Journal,2025-03-20,http://murray.info/,financial_distress
"Thomas, Clark and Vargas","Thomas, Clark and Vargas linked to offshore accounts","Thomas, Clark and Vargas denies all accusations related to shell company found in the recent leak.",The Wall Street Journal,2026-01-13,https://www.barnes-collier.com/,money_laundering
"Thomas, Clark and Vargas","Thomas, Clark and Vargas linked to cartel money","Thomas, Clark and Vargas denies all accusations related to offshore accounts found in the recent leak.",Local News Daily,2024-02-26,http://www.roberts.net/,money_laundering
"Thomas, Clark and Vargas","Thomas, Clark and Vargas linked to missed payments","Reports indicate that Thomas, Clark and Vargas was involved in significant defaulted activities.",Global Watch,2024-05-30,https://baldwin-love.org/,financial_distress
"Thomas, Clark and Vargas","Thomas, Clark and Vargas linked to migrant exploitation","Authorities are investigating Thomas, Clark and Vargas regarding allegations of migrant exploitation.",The Wall Street Journal,2025-06-15,http://brown-woods.com/,human_trafficking
"Scott, Wright and Garza","Scott, Wright and Garza linked to unexplained wealth","New evidence suggests Scott, Wright and Garza played a key role in a offshore accounts scandal.",Local News Daily,2025-12-07,http://hanna.biz/,money_laundering
"Scott, Wright and Garza","Scott, Wright and Garza linked to corrupt official","Authorities are investigating Scott, Wright and Garza regarding allegations of corrupt official.",Local News Daily,2024-08-23,http://www.cox-pearson.com/,corruption
"Scott, Wright and Garza","Scott, Wright and Garza linked to smurfing","Scott, Wright and Garza denies all accusations related to cartel money found in the recent leak.",Reuters,2024-09-20,http://www.jackson.biz/,money_laundering
"Scott, Wright and Garza","Scott, Wright and Garza linked to sanctioned","Scott, Wright and Garza denies all accusations related to sanctioned found in the recent leak.",Bloomberg,2024-11-16,http://www.williams.com/,sanctions
"Scott, Wright and Garza","Scott, Wright and Garza linked to bribes","Scott, Wright and Garza denies all accusations related to corrupt official found in the recent leak.",Bloomberg,2026-01-03,https://www.brown.biz/,corruption
Peterson-Porter,Peterson-Porter linked to embezzlement,The accounting irregularities investigation into Peterson-Porter has widened to include international partners.,Local News Daily,2025-05-23,http://wilson.com/,fraud
Peterson-Porter,Peterson-Porter linked to child labor,The migrant exploitation investigation into Peterson-Porter has widened to include international partners.,The Wall Street Journal,2025-05-25,http://www.fleming.com/,human_trafficking
Peterson-Porter,Peterson-Porter linked to missed payments,New evidence suggests Peterson-Porter played a key role in a debt restructuring scandal.,Financial Times,2024-05-28,http://www.peterson.com/,financial_distress
Peterson-Porter,Peterson-Porter news update: new product launch,Analysts are optimistic about Peterson-Porter following the award winner.,Global Watch,2026-01-16,https://www.rose.net/,neutral
Peterson-Porter,Peterson-Porter linked to sex trafficking,The human trafficking investigation into Peterson-Porter has widened to include international partners.,Reuters,2025-02-16,https://www.wilson-james.info/,human_trafficking
Jones-Rowe,Jones-Rowe linked to offshore accounts,Jones-Rowe denies all accusations related to shell company found in the recent leak.,The Wall Street Journal,2025-08-11,http://evans.net/,money_laundering
Jones-Rowe,Jones-Rowe linked to embargo,Jones-Rowe denies all accusations related to SDN list found in the recent leak.,Local News Daily,2024-07-27,http://www.wilkins.info/,sanctions
Jones-Rowe,Jones-Rowe linked to trade blacklist,The blocked entity investigation into Jones-Rowe has widened to include international partners.,Local News Daily,2025-06-15,https://parker-meyer.com/,sanctions
Jones-Rowe,Jones-Rowe linked to embargo,Authorities are investigating Jones-Rowe regarding allegations of embargo.,Financial Times,2025-07-06,http://johnson.com/,sanctions
Jones-Rowe,Jones-Rowe linked to SDN list,New evidence suggests Jones-Rowe played a key role in a trade blacklist scandal.,Global Watch,2025-08-12,http://bates.org/,sanctions
Glenn and Sons,Glenn and Sons linked to defrauded investors,Reports indicate that Glenn and Sons was involved in significant fake accounts activities.,Bloomberg,2025-10-14,http://www.ward.com/,fraud
Glenn and Sons,Glenn and Sons linked to modern slavery,Reports indicate that Glenn and Sons was involved in significant sex trafficking activities.,Reuters,2025-03-16,https://cantu.com/,human_trafficking
Glenn and Sons,Glenn and Sons news update: merger talks,Glenn and Sons announced record breaking numbers in their recent new product launch.,Financial Times,2024-12-29,http://www.castillo.com/,neutral
Glenn and Sons,Glenn and Sons linked to securities fraud,Glenn and Sons denies all accusations related to fake accounts found in the recent leak.,Local News Daily,2024-07-26,http://mack.com/,fraud
Glenn and Sons,Glenn and Sons news update: expansion plans,The CEO of Glenn and Sons discussed the new expansion plans at the summit.,Bloomberg,2024-12-13,https://www.hernandez.biz/,neutral
